Gene	Bone Marrow	E14.5-Brain	Cerebellum	Cortex	E14.5-Heart	Heart	Intestine	Kidney	E14.5-Limb	E14.5-Liver	Liver	Lung	Olfactory	E14.5-Placenta	Spleen	Testis	Thymus
ENSMUSG00000023027	6.93318	4.504465	2.47762	1.599675	6.0136	3.590445	4.550355	2.979725	7.230155	15.9105	2.41138	3.26437	3.731175	9.55206	5.571665	9.1209	8.602545
ENSMUSG00000024357	1.75141	2.295525	3.49726	2.151475	3.841005	2.297575	3.15975	9.28588	2.364095	3.49017	10.30373	4.92983	2.503325	7.96291	3.03199	16.0861	2.660485
ENSMUSG00000038991	6.927355	11.78865	5.514085	6.360975	33.03055	5.23505	36.9332	13.09015	26.7804	15.5961	21.2729	16.5158	5.52118	25.81915	20.25275	2.88317	5.79796
ENSMUSG00000037661	1.90179745	0.388101	0.3934905	0.1195595	0.403072	0.790343	4.6815785	1.5804281	0.30043	0.34257875	0.379863	0.7510535	0.776292	0.6049995	0.359528	15.88857825	0.9281795
ENSMUSG00000062683	14.86755	20.72785	10.29655	8.548515	28.6316	33.125	14.75545	45.11995	11.6812	13.35075	22.0745	12.04635	8.936115	9.401165	32.70285	0.884258	10.42459
ENSMUSG00000036330	0.09779005	0.0350067	0.0757057	0.04704725	0.07853595	0.02177065	2.11143	38.49815	0.1207947	0.177926	0.4790265	0.2876115	0.1093325	0.9535105	0.0564188	0	0.381534
ENSMUSG00000037660	0	0.0261018	0.01829265	0.0354481	0.0586015	0.0244898	0.0197084	0.01852455	0	0.0291544	0	0	0	0	0.02477595	0	0.1254375
ENSMUSG00000038990	3.56721	6.14802	3.31988	2.758585	3.0238	1.657215	2.69602	1.4345	4.048605	1.89874	3.46691	2.41118	2.30475	2.8148	5.55969	2.558055	2.34198
ENSMUSG00000074652	0.07018425	0.1091804	0.534019	0.261981	13.11195	6.036595	0.05467515	0.00851055	0.410383	0.9482475	0	0.107816	0.2049665	0.0896007	0.07017835	0	0.1045593
ENSMUSG00000035000	1.452125	0.175581425	0.175444	0.193232375	4.45124	1.10999	125.4246	6.323845	0.1148276	0.94458	7.833855	8.038325	1.443229	0.507656	6.222495	0	5.15143425
ENSMUSG00000036334	0.0495504	1.31578	1.232365	0.482973	1.442585	0.224526	0.605632	0.09288405	6.18804	0.2974525	0.0639819	0.832556	0.557187	0.188535	0.232468	0.336139	0.246769
ENSMUSG00000074655	0.01369	0	0	0	0	0	0	0	0	0.02309115	0	0	0	0	0	5.123715	0.02294895
ENSMUSG00000036333	4.21996	41.9124	22.0601	23.164	13.9127	6.27596	8.30218	19.8754	9.719375	5.259435	4.73274	8.361215	23.435	9.72664	5.51164	3.676645	16.51365
ENSMUSG00000037664	1.80347	38.200915	1.107693	0.707642	60.3128	9.677875	1.409425	4.1491075	113.527772	25.1723825	0.55206	6.4693775	1.269081	81.021677	1.170635	1.449965	1.574675
ENSMUSG00000038994	0	0	0.30853805	0	0.2746505	0	0.03463825	0	0.09483175	0	0	0	0	0	0.04354465	184.5835	0
ENSMUSG00000074656	15.73195	32.24475	11.36	7.68997	20.20535	8.835655	15.51489	12.3896	23.03795	41.051	13.18407	6.259965	5.831785	25.471	11.173985	18.73385	9.08308
ENSMUSG00000035004	9.208085	0	0	0	0	0	0	0	0	3.369635	0	0	0	0	2.37631	0	1.28035
ENSMUSG00000074657	0.172454855	13.4396875	60.28785	188.678	0.139829	0.1075833	0.25551677	0.1012993	0.763408225	0.07131355	0.36247875	0.0800269775	30.2121	0.506541	0.075004575	0.686325	2.637575
ENSMUSG00000037669	2.12593	4.429459	4.43369995	3.2021049	3.0892958	2.18361	3.05723715	1.905285	3.0162475	1.8377846	2.34281475	1.4513965	3.840865	2.55169495	0.95073817	1.854945	2.24670285
ENSMUSG00000038997	1.6267315	0.069688	0.052482	0.02465375	0.0260761	0	0.0526185	0	0.0720287	3.12156	0	0.02815495	0	0.13354995	0.066148	73.96025	0
ENSMUSG00000035007	1.92527	3.807515	3.710705	4.403615	2.751395	1.50861	3.57411	3.591555	2.1103	1.62834	1.56469	2.779005	3.85813	2.65553	3.740455	1.1003735	3.10186
ENSMUSG00000023093	0	0	0	0	0	0	0	0	0	0.0787395	0	0	0	1.1009015	0	0	0
ENSMUSG00000023092	2.06813	14.7515305	8.31370665	5.57072	12.405356	7.085265	3.6157146	13.628283	5.2113478	3.485835	0.542717	23.959484	9.399845	3.64047075	2.104675	2.191915	1.4338015
ENSMUSG00000062619	5.701195	6.96779	2.18551	1.1321435	5.41237	6.02486	5.02907	36.3864	4.34609	6.81771	21.8467	5.218815	1.289104	2.221625	8.126545	3.984955	3.103275
ENSMUSG00000023094	3.31331	1.98706	2.50647	3.640335	7.201405	13.63325	0.4219175	10.5236	3.02076	2.461185	4.12948	2.973005	2.88674	0.613474	1.7794	1.152825	3.53987
ENSMUSG00000049641	0	0.323136	0	0.04861135	0.018641	0	0.03800995	0	1.644475	0.02782195	0	0	0	0	0	0	0
ENSMUSG00000048310	1.698245	3.488395	1.87743	1.317365	6.82672	2.186605	2.22886	4.24909	8.971565	3.503465	3.30633	3.57827	2.544755	7.332665	3.92108	2.531895	4.00145
ENSMUSG00000049643	1.81300695	3.32155355	3.331775	1.661112	2.7513375	2.57758	1.20945	1.147805	3.845215	3.39640475	0.46485199	1.502445	2.27172085	2.937495	2.31349175	3.3170275	2.340022
